Clinic,Month,Period,Unique Users,Login Sessions,Ad Impressions,Download GB,Gross Revenue (R),Net Revenue (R),Think Share (R),Partner Revenue (R)
Alexandra,May 2026,1 May - 23 May 2026,2906,7366,48810,2057,3459,1878,1048,2423
Barcelona,May 2026,1 May - 23 May 2026,500,1715,11233,524,905,521,283,619
Chloorkop,May 2026,1 May - 23 May 2026,13,20,193,5,13,9,4,9
Cosmo City,May 2026,1 May - 23 May 2026,183,375,3221,103,277,158,78,155
Durban,May 2026,1 May - 23 May 2026,317,950,8500,236,638,432,202,527
Fleurhof,May 2026,1 May - 23 May 2026,47,68,671,16,59,40,18,37
Heidelberg,May 2026,1 May - 23 May 2026,171,372,3086,96,229,144,66,148
Jabulani,May 2026,1 May - 23 May 2026,48,66,602,14,48,30,14,31
Kayamandi,May 2026,1 May - 23 May 2026,105,167,1433,48,72,52,24,56
Lenasia Ext10,May 2026,1 May - 23 May 2026,105,321,2641,64,226,144,62,124
New Hanover,May 2026,1 May - 23 May 2026,728,1893,11977,525,506,238,158,692
Nokaneng,May 2026,1 May - 23 May 2026,272,857,4203,304,88,52,22,44
Oukasie,May 2026,1 May - 23 May 2026,161,313,2064,142,56,38,16,33
Phoenix,May 2026,1 May - 23 May 2026,88,293,2399,85,175,110,57,184
Sicelo,May 2026,1 May - 23 May 2026,345,678,5127,214,373,229,114,252
Sky City,May 2026,1 May - 23 May 2026,129,494,3684,126,249,131,75,184
Soshanguve,May 2026,1 May - 23 May 2026,472,1089,9020,323,782,462,227,493
Sweetwaters,May 2026,1 May - 23 May 2026,311,840,6834,293,453,243,143,557
Thokoza,May 2026,1 May - 23 May 2026,124,581,1645,150,126,76,37,77
Umsinga,May 2026,1 May - 23 May 2026,3,6,53,4,3,1,1,1
Zamdela,May 2026,1 May - 23 May 2026,204,463,2754,118,52,39,16,33
Alexandra,April 2026,1 Apr - 30 Apr 2026,3577,9783,70647,2711,5739,3030,1645,3071
Barcelona,April 2026,1 Apr - 30 Apr 2026,526,1768,10156,502,1034,558,283,538
Chloorkop,April 2026,1 Apr - 30 Apr 2026,1,1,20,0,2,2,1,1
Durban,April 2026,1 Apr - 30 Apr 2026,248,681,4994,160,166,93,59,105
Fleurhof,April 2026,1 Apr - 30 Apr 2026,116,227,1959,51,156,85,47,87
Heidelberg,April 2026,1 Apr - 30 Apr 2026,232,436,3363,102,283,161,75,146
Jabulani,April 2026,1 Apr - 30 Apr 2026,44,78,621,13,49,29,15,28
Kayamandi,April 2026,1 Apr - 30 Apr 2026,182,391,3095,94,103,60,41,73
Lenasia Ext10,April 2026,1 Apr - 30 Apr 2026,135,383,3621,103,298,164,83,157
New Hanover,April 2026,1 Apr - 30 Apr 2026,868,2508,14349,694,468,256,190,331
Nokaneng,April 2026,1 Apr - 30 Apr 2026,369,1334,7177,467,215,122,77,139
Oukasie,April 2026,1 Apr - 30 Apr 2026,165,321,2034,122,89,60,31,59
Sicelo,April 2026,1 Apr - 30 Apr 2026,148,297,3145,117,332,188,86,168
Sky City,April 2026,1 Apr - 30 Apr 2026,120,406,2868,111,248,141,66,129
Soshanguve,April 2026,1 Apr - 30 Apr 2026,584,1519,12806,425,1166,643,329,624
Sweetwaters,April 2026,1 Apr - 30 Apr 2026,420,1221,8077,416,251,121,110,184
Thokoza,April 2026,1 Apr - 30 Apr 2026,144,539,2236,161,193,114,54,104
Umsinga,April 2026,1 Apr - 30 Apr 2026,217,695,4076,263,146,80,59,103
Zamdela,April 2026,1 Apr - 30 Apr 2026,211,558,3309,113,107,67,40,73
